,Name,Population,Latitude,Longitude
5882,Marseille 12,58734,43.29614,5.43617
5906,Valence,63864,44.9256,4.90956
6020,Mont-de-Marsan,36205,43.89022,-0.49713
6043,Levallois-Perret,62178,48.89389,2.28864
6111,Douai,46531,50.37069,3.07922
6133,Charenton-le-Pont,30910,48.82209,2.41217
6157,Bastia,41001,42.70219,9.45123
6165,Aulnay-sous-Bois,80615,48.93814,2.49402
6175,Marseille 03,45414,43.30257,5.37583
6181,Villeurbanne,131445,45.76601,4.8795
6217,Sartrouville,53980,48.9482,2.19169
6276,Paris,2138551,48.85341,2.3488
6288,Neuilly-sur-Seine,61300,48.8846,2.26965
6347,Saint-Quentin,55407,49.84889,3.28757
6360,Saint-Herblain,46898,47.21154,-1.651
6378,Rueil-Malmaison,76616,48.8765,2.18967
6396,Poitiers,85960,46.58261,0.34348
6397,Poissy,36431,48.92902,2.04952
6421,Nantes,318808,47.21725,-1.55336
6455,Le Perreux-sur-Marne,32015,48.85,2.5
6496,Guyancourt,31989,48.77334,2.07393
6518,Drancy,62488,48.92578,2.44533
6529,Creil,31863,49.25672,2.48477
6540,Clamart,51400,48.80299,2.26692
6555,Cergy,57576,49.03645,2.07613
6606,Marseille 05,44583,43.29551,5.40055
6607,Marseille 15,77770,43.37224,5.35386
6731,Châtillon,32383,48.8024,2.29346
6745,Cambrai,36492,50.17596,3.23472
6797,Saint-Quentin-en-Yvelines,146598,48.77186,2.01891
6839,Sotteville-lès-Rouen,30619,49.40972,1.09005
6905,Rouen,234475,49.44313,1.09932
6913,Rennes,220488,48.11198,-1.67429
6951,Noisy-le-Grand,62420,48.84979,2.56266
6953,Nîmes,148236,43.83665,4.35788
6954,Nice,342669,43.70313,7.26608
6961,Narbonne,50776,43.18396,3.00141
7175,Fréjus,53098,43.43325,6.73555
7201,Créteil,84833,48.79266,2.46569
7275,Lyon 03,102725,45.76124,4.85184
7276,Marseille 08,78837,43.27083,5.3821
7277,Marseille 11,56792,43.2907,5.4384
7314,Sevran,47334,48.94472,2.52746
7319,Savigny-sur-Orge,39698,48.67677,2.34835
7339,Saint-Ouen,39353,48.90654,2.33339
7399,Pau,82697,43.31117,-0.35583
7405,Noisy-le-Sec,38955,48.89148,2.46451
7407,Nogent-sur-Marne,31236,48.83669,2.48255
7430,Maubeuge,33684,50.27875,3.97267
7513,Courbevoie,85158,48.89672,2.25666
7541,Bron,37825,45.73865,4.91303
7567,Antony,59845,48.75329,2.29668
7568,Lyon 08,86154,45.73626,4.86866
7590,Vandœuvre-lès-Nancy,31785,48.66115,6.17114
7666,Saint-Chamond,38014,45.4759,4.51294
7702,Pantin,52922,48.89437,2.40935
7703,Palaiseau,31987,48.71828,2.2498
7734,Les Mureaux,32134,48.99173,1.90972
7779,Gagny,38134,48.88333,2.53333
7815,Corbeil-Essonnes,40527,48.60603,2.48757
7843,Caen,110624,49.18585,-0.35912
7846,Brive-la-Gaillarde,53466,45.1589,1.53326
7862,Belfort,54562,47.64218,6.85385
7879,Asnières-sur-Seine,86742,48.91667,2.28333
7883,Arles,53431,43.67681,4.63031
7904,Lyon 02,31303,45.75423,4.83089
7905,Marseille 14,61920,43.34447,5.38004
8026,Nancy,105058,48.68439,6.18496
8044,Massy,38768,48.72692,2.28301
8063,Le Mans,144515,48.0021,0.20251
8091,Houilles,31121,48.92161,2.19263
8121,Épinay-sur-Seine,46145,48.9535,2.31514
8142,Choisy-le-Roi,35590,48.76846,2.41874
8171,Bourg-en-Bresse,45340,46.20574,5.2258
8193,Aubervilliers,70914,48.91667,2.38333
8252,Saint-Priest,41641,45.69651,4.94385
8323,Orléans,116269,47.90289,1.90389
8451,Pontault-Combault,34798,48.79813,2.60676
8470,Châlons-en-Champagne,51257,48.95393,4.36724
8480,Calais,74433,50.95194,1.85635
8493,Bourges,67987,47.08333,2.4
8514,Auxerre,41516,47.7996,3.57033
8587,Issy-les-Moulineaux,61447,48.82104,2.27718
8596,Grenoble,158552,45.17869,5.71479
8728,Vaulx-en-Velin,37489,45.78693,4.9251
8736,Tremblay-en-France,35591,48.94956,2.5684
8747,Sète,40736,43.4028,3.69278
8824,Montpellier,248252,43.61093,3.87635
8847,Marseille 01,40919,43.29814,5.38407
8848,Marseille 07,35981,43.28289,5.36021
